Startup_Description,category,category_needed
 We are already running a manufacturing firm which produces control systems for power management for industrial machinery Planning to start a new company to manufacture IoT based smart systems which will be used to read and manage electrical energy levels in electrical power stations and transmission stations Have received contract from Maharashtra State Electricity Transmission Company MSETCL to supply smart meters for their power stations Have identified a 5 acre land to lease out and setup our manufacturing unit This is located in an industrial area which will help us in logistics and procurement ,0,Sustainable Energy
 We specializes in designing and manufacturing electronic products geophysical equipment and providing exploration services Have developed several geothermal exploration systems and have been offering geothermal exploration services in Japan China Taiwan Philippines Costa Rica and USA We have successfully done over 30 geothermal projects in the past 35 years Majority of the revenue comes from designing and manufacturing electronic products Operated by an highly experienced director ,7,others
 We provide overall renewable energy solutions alongside service engineering both domestically and globally We cater services to homes hotels hospitals apartment buildings and industries Over nine years of knowledge and experience in the constructing services industry enables us to serve a wide range of customers at all stages of project development including concept development design development and construction as well as maintenance and enhancement of existing plants We follow the OEM business model for some products like the solar water heaters while outsource some products like solar panels and inverter The company is ISO9001 2015 certified and we have completed more than 1200 projects so far We are DEWA approved solar PV company and also provide custommade energy solutions with addition of new products every year The sales revenue has dropped by a small percentage compared to the last year due to the pandemic Valuation is high because of the potential our sector carries We are going to introduce most demanded products in gulf region Design finished testing finished and sample manufacturing is going on Planning to introduce the products to the market soon additionally some more products are under design We are engineers turned entrepreneurs technically extraordinarily strong in our business line ,11,Sustainable Energy
 Business focused on providing energy We buy energy from power plants and sell them to B2B and B2C clients There are no fixed vendors Cater to approximately 250 clients Have developed a software that helps in providing cheaper electricity to our clients due to less operative cost increasing margins and profit Have spent the last two years setting up the business and started revenue generation from this year onwards Promoter has 22 years of experience in various industries ,4,others
 We work on small scale solar rooftop projects and also large scale PV farms and wind farms We have signed new solar projects and we are seeking a loan to construct these projects Have good potential projects in the pipeline in the field of energy and climate change We have implemented hundreds of roof projects in the Middle East Jordan Egypt UAE and Syria since 2004 Business is owned and operated by a single owner Business does not have any liabilities ,1,Sustainable Energy
 Unique Air Conditioning Energy Saver which is the first and only PLC retrofit in the world Have received the National Award for this and applied for a patent We have been on the market for the last 7 years and it has been widely accepted in India and many countries We have served over 2 000 corporate clients pan India Outsource the PLC manufacturing and sell it under our own brand The USP it maintains and displays sets temperature precisely and offers up to 35 savings Additionally it offers savings of up to 30 from its unique temperature lock feature and many customers report savings of up to 50 payback can be down to 13 months only Our product is a programmable customizable retrofit microcomputer which can be easily installed in just a few minutes and is simple to use The company is a sole proprietorship The firm has a business loan of INR 40 000 which will be cleared before the transaction ,4,others
 Business is focused on providing onestop workplace transformation solutions and facility management services It is a flourishing Singaporegrown company established in the mid2000s with close to 2 decades of highly acclaimed inhouse expertise and track record Business is reputed for its innovative solutions and premium quality execution creating amazing spaces and turning dreams into reality for its customers The company is the goto partner for its holistic solutions across government bodies renowned local conglomerates and regional and international clients Being a strong advocate for sustainability the firm infuses energy and resourceefficient elements into its solutions to build ecofriendly and healthy workspaces for its clients Possesses a talent pool of 93 professional staff with deep creativity technical expertise and decades of experience Its inhouse facilities boasts of over 16 000 sq ft of office engineering metal carpentry workshops mockup room and dormitory It posted a sterling financial performance of close to SGD 11 million in revenue with a 26 EBITDA margin last year and forecasts of over SGD 15 million revenue and 20 EBITDA margin for the coming year It has tremendous growth potential with sustainable profit margins strong cash position and low gearing The business is selling all its assets excluding the property ,4,others
 Dhaka based company that supplies plastic waste to fuel plants which are converted into energy Our aim is to transform the plaguing waste problem in Bangladesh into a solution Business has been operational for 18 months We collect plastic waste from different locations and supply it to energy conversion plants in bulk We are currently active only in a small part of Dhaka and we wish to scale the business to other parts of Bangladesh soon Planning to launch a website and mobile app to digitize the process and improve the services Have won many awards and money prices for our services Company has received a carbon offset implementation project with a 15year contract from an Indian company We will set up our own energy conversion plant and use TCD Thermo Catalytic Depolymerization technology to produce energy This ecofriendly process converts waste plastic into fuel oil We are committed to a longterm strategic partnership with the government and private organizations Our objective is to help the government create a sustainable community and an environmentally friendly country in adherence with the United Nations sustainable development goals and the Paris Agreement Company has not taken any loan or debt for the business ,12,others
 Our expertise lies in providing hydrological monitoring services and other water services like bathymetry and flow Company provides these services throughout Peru Bolivia Brazil Chile and Colombia We also help companies to design and install automated and integrated systems of flow control and measurement Our main clients include energy and mining companies such as Antamina Las Bambas Luz Del Sur EDF and Enel We are also distributors of multiple environmental equipment products in the region such as products from Aqualabo Company s physical assets include office set up and inventory ,7,others
 ISO 9001 2008 certified renewable energy company providing sustainable energy solutions We provide services to build solar power plants in India We can intergrate solar plants from 1kw onwards and then we hand it over to developers who in turn would sign PPAs with contractors Have around 200 clients across India and some of our marque clients are L T Eaton Instruments Vivekananda Medical Care Hospital and IIT Madras We procure raw materials from 20 vendors Have installed more than 100 solar power plants and 100 solar water heaters till date Have completed more than 400 projects including power plants water heaters solar outdoor lighting Promoter has 30 years of experience in this industry ,0,Sustainable Energy
 Manufacturer of biomass briquette and sawdust pallets from agro wastes have 4 regular clients and many ad hoc customers We supply briquette to companies which is in Aurangabad Pune Nagpur Taloja Vashi Mumbai and 8 mm pallets from sawdust to Haldirams Nagpur H L L Kellogs We produce briquette at 3 tons per hour and sawdust pallets of 2 tons per hour Have around 45 vendors from whom we purchase raw materials Promoter has 20 years of experience in this industry ,12,others
 We create large scale projects for solar power plants and renewable hydrogen plants We obtain all the necessary documents that allow us to start the construction and handle the allocation of the land We design the solar plants and provide solutions for the distribution of the electricity generated The construction of the plants is handled by our contractors We do not actively participate in the selling of the power generated To date we have successfully completed seven solar power plants of about 100 MW in Ukraine We have recently acquired 145 hectares of land on lease from the Ukrainian government for a renewable hydrogen plant We have started the process of obtaining land clearances for our projects of 120 MW in Romania and 100 MW in Greece We are paid on a project basis leading to a discrepancy between our recorded sales and physical assets The final payment is received after the successful realization of a project The average duration of a project is twelve months Company has payment obligations of EUR two million and a debt of EUR 110 000 The promoter has over ten years of experience in the field of renewable energy ,0,Sustainable Energy
 The company has been working in agribusiness since 2011 Last year it comes up with a project to use the farm s space to build a solar plant and seeks investment for the same The company deals in pork lamb jerimum banana coconut chestnut carnauba corn etc Company is exiting the agriculture wholesale business and the stake will be offered in the new project It s a completely liabilitiesfree company and the partners details will be shared with the interested investors postconnection ,11,Sustainable Energy
 The company was established in 2018 Revenue has been generated from consulting in the oil and gas industry as well as software distribution of simulators with various clients Low overhead business with capabilities to attain profit margins of 95 plus Simulator is the only commercially available software package in this space globally The buyer will be the first to market Industry pressure to ensure emergency systems are simulated correctly is increasingly mandated by regulators and will only become more difficult to comply with without the use of simulators Limited competition due to high barrier to entry 3 years of fulltime development cost and intellectual property Cost to scale globally is very low with a high likelihood to become the industry standard for emergency system simulation The founders are willing to accommodate an extended handover period Strong potential for vertical integration with existing oil and gas companies and software providers The business operations are stalled for now and that is the sole reason behind no revenues this year A completely liabilitiesfree company fully owned by the profile s user ,2,others
 Waste plastic oil WPO derived from pyrolysis of plastic debris and municipal waste is one of the alternative fuels because of its similar characteristics and physical properties to diesel fuel The current production capacity of the unit is 1 tonne on a monthly basis We get raw materials from the local area and sell the finished product in Bangladesh Have over 35 clients to whom we supply our products Depending on the quality of the waste plastic the yield is about 50 70 for fuel oil 20 40 for carbon black and 5 10 for combustible gas The combustible gas can be used entirely as fuel for heating the pyrolysis reactor The promoter has 15 years of experience in this industry The company is a sole proprietorship and has no debts or liabilities ,12,others
 An earlystage renewable energy startup engaged in reviving the rural economy starting from Vadodara Gujarat A pilot project is setup in Savli Taluka to process 20 MT of wastes per day to produce up to 400 kg of bioCNG 5 000 kg of organic fertilizers and 25 000 liters of organic liquid fertilizers Raw materials are already sourced out from farmers within a 30 km radius in order to increase the production capacity by 5 times the current capacity Received a 10year contract to supply BioCNG Great initiatives by the Indian Government to promote bioCNG make this business a very lucrative longterm investment If the production capacity is increased by 5 times the government would provide a 25 capital subsidy Possibility to have longterm buyback agreement with IOCL HPCL or BPCL of entire bioCNG production Also supply BioCNG to industries in Halol GIDC at a higher rate as LPG replacement In the process of setting up a dairy farm which will help reduce the production cost Estimated total milk revenue from the dairy farm will be INR 1 4 crore per year ,6,Sustainable Energy
 Business installs and trades solar energy systems based in Kolkata and started operations in 2014 We purchase solar products from 15 vendors across India Selling to 200 B2B clients across India We are registered vendors for NTPC Ltd IOCL Essar Oil Ltd We also provide installation services to B2B and B2C clients Currently undertaking 23 installation projects per month Revenue has decreased due to covid19 ,11,Sustainable Energy
 Company based in Mangilao sells renewable energy products operating since 2018 Our mission is to help our island consumers get the best deal possible with our Renewable Energy Products and Services Have around 12 vendors from whom we procure the products Have installed solar lighting for more than 55 customers solar panels for 3 customers solar water heater for 5 customers LED shoebox streetlights for 10 customers LED lighting for 15 customers battery storage for 4 customers We also provide services such as solar panel cleaning Have 50 clients who take the service from us frequently Our assets include tools machinery vehicles customer database license and stock ,5,Tech
 2013 established company providing bio solution to clients We design manufacture and set up bioplants as per the client requirement We have more than 44 clients across India Have successfully completed more than 30 projects We recently won a project from NTPC limited Promoter has more than 5 years of experience ,1,Sustainable Energy
 Company offers complete home improvement and electrical services Majority of our customers are homeowners and small medium big businesses Services include sales installation and maintenance of CCTV cameras solar panels satellite communication and also carpentry masonry plumbing electrical installation services Have collaboration with many business groups in Guyana Starting this year we have managed to become a known provider of services all across Guyana Completed 4 projects last month and have many projects in the pipeline Each project takes 1020 days for completion depending on the complexity and big projects take time We purchase the required products and materials locally Interested to participate in govt bidding projects in the future ,1,Sustainable Energy
 DIPP recognized startup company that will manufacture and sell solar hybrid and specialized geysers We are in the process of setting up our manufacturing facility for a new generation of electric and solar hybrid geysers Company aims to tap market potential across the country with this new technology Production unit will be finished within 2 months and fullfledged production shall commence within the next 6 months B2C product launch with an option to preorder will commence next month Individuals will be eligible for a 50 discount on preorders B2B product launch with preorder by the end of this year Our product conserves 35 electricity and saves 20 litres of water in every use Company has IPR and designs worth INR 3 5 crore The investor shall get a 14 stake in this company ,5,Tech
 Company install maintain repair solar panels on residential and industrial buildings We carry out our own projects and execute projects for other solar companies Majority of the revenue is from industrial projects Business was started in 2016 but incorporated as an LLP in 2020 Our maximum project value is INR 2 crore and it is getting bigger day by day In a month we work on around 10 residential projects 1 industrial project or 3 commercial projects depending on the size Have completed over 100 projects till date including govt and private projects Business has not taken any loan and does not have any outstanding debt ,1,Sustainable Energy
 Our business is engaged in the manufacturing of gasifier burners wood based heating solutions and smokeless furnaces We manufacture different quantities for different products per month Our products are sold in both B2B and B2C segment We have hotels restaurants cafes as B2B customers We have 4 to 5 fixed dealers from whom we receive regular orders across the state We have also exported our products to Sri Lanka In the past 2 years in the B2C segment we have served 7 500 to 10 000 end customers The business does not have any loans or overdue The business has 2 owners with equal ownership stake ,5,Tech
 We deal in the manufacturing of solid wood furniture and have been in this industry since 2003 The business s operations were shut down temporarily due to Covid and we are looking to restart our operations We have land with an area of 4ha and a builtup of 6 981 sqm and a warehouse The business has more than 100 machines 100 Cubic metres of drying chambers We have a manufacturing capacity of 15 000 chairs and 50 000 wood elements monthly We are suppliers for IKEA and Tarkett Currently we are seeking investment for a solar energy project The business has a tieup with IKEA for a cogeneration plant We plan to have solar energy production from 2Mw up to 9Mw The business already has ample space for a solar power plant in the existing factory Our country has a program to invite foreign investors According to this program the government will pay salaries and benefits to all the workers The business has one owner with a 100 stake in the company Company does not have any outstanding loans ,0,Sustainable Energy
 Solar oil energy company that specializes in offgrid solar systems ongrid solar systems solar pumps and heaters Our company works with government and industrial clients and generates an annual turnover of EGP 5 million We are looking for an investor to start a new project in the oil field The project To acquire 30 nonoperating share for oil concession in Western Desert in Egypt 18 km2 area western desert Have already acquired the service agreement contract for the production of 500 bbl day and for delivering new services by using solar energy units as an assistant energy source for diesel generators that saves 35 of oil production cost plus it is green maintenancefree and a renewable sustainable energy source Project team The oil concession team consists of two companies that have partnered with EGPC Egyptian General Petroleum Corporation The first company is the operator company which is one of the best Egyptian companies in the oilfields with experience exceeding 60 years and it owns 30 shares of the oil concession We are the second company and we are a group of petroleum engineers renewable energy engineers geologists and competent engineers and we will own 30 shares of the oil concession The third partner is EGPCEgyptian General Petroleum Corporation and they own a 40 share of the oil Concession Marketing EGPC Egyptian General Petroleum Corporation is our only client as it buys all production So there is no market plan issue Funding value We are looking for an investment of Minimum USD 5 million 20 sharing to Maximum USD 12 million 45 sharing Post obtaining a 30 share in the oil concession our annual turnover is expected to be USD 5 5 million The net return of revenue IRR is expected at 30 Promoter experience More than 22 years in oil field experience Awards Best Arabian Startup Company In Solar energy efficiency from Arabian League Attached is the feasibility study for the oil concession project More document upon request ,6,Sustainable Energy
 Company is well experienced in engineering procurement and commissioning of solar power plant We install solar power plant in private land which will be on 25 years lease agreement Investment will be utilized to setup the solar power plant Generated electricity will be sold to industrial consumers Billing cycle will be monthly ,0,Sustainable Energy
 EPC company dealing in power automation and renewable energy systems Renewable energy We provide engineering procurement supply commissioning and after sales services for the establishment of solar photovoltaic and wind turbine energy plants for residential public and commercial utility PSUs We have executed solar plants both ground based and rooftop of capacity ranging from 5kWp to 250kWp having a cumulative installed capacity of 5 MWp Also installed solar water pumps ranging from 2Hp to 10Hp and totally installed over 150 Pumps Clientele include PSUs IOCL GAIL CSL railways state electricity boards and some private units Power automation We provide a power automation solution that encompasses generation transmission distribution and consumption thus addressing the entire value chain We have executed export contracts for substation automation projects cumulatively we have completed 20 projects in Zambia Oman We have also executed domestic automation projects for IOCL CPRI DAE MRPL KSEB Promoter is master degree in engineering and has over 30 years of experience in the power and automation industry worlds leading Electrical and Automation MNC Has written several articles on technology related topics featured on Huffington Post Powergrid He is Fellow of Institute of Engineering and Technology IET UK ,0,Sustainable Energy
 Technology and security system solutions provider that sells and installs surveillance devices at client s facilities We procure products from vendors based in Trinidad and Tobago Have around 20 clients and all are leading multinational energy providers government ministries telecommunication and construction companies We are the sole representative for several Fortune 100 companies across the English speaking Caribbean Promoter has over 30 years of experience in this business ,4,others
 Our company has undertaken its first project to build a photovoltaic park This is our own initiative Post this we can expect government projects The park will be built on a 75 000 Sq Mt land which is rented for a contract duration of 30 years The energy derived from this park would be transmitted to the national power grid The government s initiatives for renewable energy organizations will help us get a contract with the national power grid The energy would be priced at 50 000 euros for 3MWhr power supply every month We require funding for getting all the solar equipment and for construction of the facility which would take 2 months for completion Promoter has an experience of 5 years working in renewable energy sector ,0,Sustainable Energy
 We design and manufacture autonomous cleaning robots for solar plants Our products remove up to 99 of dust and is completely energy independent and water free Production is on a request basis and we have completed projects on 56 sites for major names like TATA Azure and Asian Paints Have a 28 YoY growth since inception Promoters have 15 years experience Company was Incubated and supported by IIM Lucknow and we have received investment from HPCL and ONGC ,11,Sustainable Energy
 Company is well experienced in engineering procurement and commissioning of solar power plant We install solar power plant in private land which will be on 25 years lease agreement Investment will be utilized to setup the solar power plant Generated electricity will be sold to industrial consumers Billing cycle will be monthly ,0,Sustainable Energy
 We manufacture a special kind of roof mounted natural ventilators Our products are unique has its own trademark and patents for Middle East and USA Have a manufacturing unit located in Dubai that has a capacity to produce 1 000 units per year The ventilators are sold to petrogas and heavy industry companies Sold about 150 units last year The companies we sell to include UAE Oman and Saudi Arabia with companies in Oman being our largest buyers ,6,Sustainable Energy
 Established the company last year to focus on hydrogen energy and technologies We are in the process of developing solar hydrogen direct water splitting equipment and hydrogen linear generator engines for govt departments automobile companies Full testing will start next month We will procure technology and products from the manufacturers in Japan Poland Germany They will manufacture as per our requirements Our technology will be used in heavy machinery and commercial vehicles as a replacement for diesel engines Promoter has previous experience in growing similar business at more than 30 growth a year Need funds to expand the business ,6,Sustainable Energy
 Company that has been operating in the environmental market for over 35 years The company has its own laboratory and leverages its business through the great permeability that the environmental sector has in all segments Company has business and clients throughout Brazil We have contracts with longterm receivables focused on recycled water in industries Have large multinationals as our main customers in the areas of mining oil and gas pharmaceutical industry and others We have a bank loan Principal and interest are due within the next 2 years Company has 2 directors ,7,others
 Established in 2015 we have invested and spent a lot of resources in surveying for regional South Asian Chinese markets government connections and R D on cleaning products and biodiesel production using used cooking oil and through plantation We are still in the startup phase where it comes to production we are not generating any revenue for now We hold licenses for multiple sectors including renewable energy engineering manufacturing construction trading import export fashion etc Registered so as being capable of entering into more products and operations for the future We are planning to set up a biodiesel production plant through plantation and or using collected imported used cooking oil We do have the land for factory setup We are in the process of acquiring land for plantation Further required land will be leased from the government for at least 40 to 50 years that will be addressed in the upcoming contract between this company and the government of Nepal Certainly long term vision is made The government of Nepal will be our main client for very near upcoming projects like biodiesel production and construction of government office buildings smart cities dry ports other infrastructures for recently created new seven states in Nepal Post obtaining funds it will a year to set up the plant and start generating revenue if production will be done by using used cooking oil and 3 to 4 years if used the own produce through the plantation of J C We expect a 30 to 40 return per annum on our biofuel including the interest for 3 5 years Applies to the other government infrastructure projects We will also work on planning new cities on PPP BOOT etc models if more funds will be available Once again a long term vision is laid Government will provide all the required land and buy our energy products The desired fund shall be transferred after the contract is signed between this company and the government of Nepal Further making it a very secured investment Majority of the revenue will be generated from the biodiesel production smart cities parking buildings and government infrastructural projects including hospitals and schools Business is owned by a sole proprietor is a private limited based in Nepal and plan is to expand it to other corners of the globe Also it is debtfree Audit report is available on request So far we have successfully able to pass a policy that will allow a biodiesel mix of 10 in Nepal Also force the government to buy all our biofuel products at 10 extra rate Owner has extensive travel history multilingual has worked and managed structural engineering consultancy in four continents for last 25 or so years and is a structural engineer by training A functional and detailed resume will be available upon request Any other information and or documents will be shared after signing a NDA Please note The owner is very much into the environmental issues and is wish to save the planet till the sun explodes ,6,Sustainable Energy
 Company is BEE accredited Crisil Rated and ISO 9001 2015 Certified Services we offer are energy audit energy profiling power quality analysis thermography analysis efficiency analysis IoT based energy automation Company has presence in Mumbai Rohtak Kolkata and Bangalore with headquarters in Mumbai We have more than 100 clients associated with us Our clients include facility management companies architects corporate houses residential societies hotels contractors and interior designers Served companies like P G BASF L T Finance Raymonds Endurance SAP and other reputed companies Have grown from an annual turnover of INR 10 lakh in the first year to INR 2 37 Cr last year We have our own IoT based platform to manage client s facilities Received select partner award from Reliance Unlimit Physical assets include owned office in Kolkata ,4,others
 This is a diversified firm which is into many business verticals We procure waste such as Municipal Solid Waste Agriculture Industrial and the sludge from waste water facilities and convert it into bio gass electricity and heat This includes smart grid technology and command control centers linking the power plants with the PUA central command center This is consumed by the consumers Currently have tie ups with 2 clients Once we receive the funds we will move this vertical into a separate entity Promoter has more than 30 years of industry experience ,12,others
 35 year old ISO 9001 2015 certified company manufacturing products required for nuclear power plants We get raw materials from companies like SR Steel Arvind Tube and we sell the products under our own brand name There are 17 nuclear power plants in India and each has at least 5 equipment which are manufactured by us Our important clientele includes Nuclear Power Corporation of India ISRO Space IGCAR BARC Currently we have Rs 35 crores worth of projects ,0,Sustainable Energy
 We are engaged in the sale of solar products for both domestic and commercial use Also engaged in the design and implementation of solar power projects both on and off grid The products are sourced from reputed 3rd party vendors At present we have around 54 clients including several international firms The business is still in growth stage and we are seeking capital to take on larger projects ,11,Sustainable Energy
 Offer services include telecom and IT infrastructure system integration Most of our revenue comes from greenfield telecom and IT infrastructure installation projects Our clients include government clients such as SPTL Tejas Networks M s Dynacon PPAC Some of our successfully completed projects include WiFi installation for the Indian Railways BSNL site upgradation and the installation of IT infrastructure to provide internet service in rural areas Offer services through 19 permanent employees and employ contract labor for onsite projects Both promoters each have 5 years of experience in the telecom infrastructure domain ,7,others
 One of the few companies in Bahrain that specializes in highquality offgrid solar lights and vertical integrated solar modules in poles We have one main solar lamp product with different models Products are approved by EWA Lamps are sourced from manufacturers in Austria and Germany Have an excellent client database and market standing for highly reliable products Clients are from Bahrain Oman UAE and KSA Our clients include contractors companies and traders who place bulk orders Have a strong supply chain system in place Our lamps are used in homes public places and roads This product can be manufactured inhouse using sources in China and Bahrain But this would require a high initial cost Sales have dropped due to the promoter s lack of time Company can be used also as training institute for solar extended to EV charging systems and PV installations ,11,Sustainable Energy
 We have developed a proprietary device that will provide electricity using recycled water and air without using any fuel oil and lubricant to maintain a power plant or generator This generator or power plant can be used with any available type of water or liquid that is abundant e g salt water tap water rainwater The energy produced is renewable and unlimited In this invention the use of air and water combined as a subset of renewable energy is introduced The specific target markets are super malls subdivisions companies all establishments using electricity as well as in islands provinces or remote areas without electricity We plan to setup a 5MW project which would take smaller space than a solar project This is our 1st project on a large scale We have prototypes and devices ready After the completion of 1st project we would generate PHP 187 million annual revenue Company has a PPA from the Department of Energy Philippines We have received a local award for technology and innovation We will install 5MW plant at our own property as a proof of concept and then will sell the technology to others Revenue will be initially generated by selling the generated power to buyers ,0,Sustainable Energy
 We are an IoT based company located in Bangalore We provide prepaid energy meters enabled with IoT and energy management software that allows the companies to understand their consumption of energy for furnaces or boilers Currently we have 2 paid clients from Dubai We did not report any revenue last year as the product was developed 4 months back Business does not have any loan and is run by 2 owners with an equal equity stake in the company ,2,others
 We are a 2year old real estate development company that was created as a subsidiary of the parent construction company which has 10 years of operations in the market The subsidiary was created to meet the demand for luxurygreatly designed apartments on the Athenian Riviera We mainly focus on the suburbs of Glyfada and Voula the most prestigious of Athens The revenue has seen high growth rate as there is a 10 15 annual increase in apartment prices witnessed for the last 3 years and at least a 10 annual increase is projected each year until 2027 Currently we have 2 residential projects in hand and are in talks to get another project by the end of this month We have clients from Central Europe Egypt the US Canada and Asia We have a wellestablished reputation in the prestigious real estate market of the Athenian Riviera Glyfada Voula which gives us the ability to sell our properties at the early design phase We differentiate ourselves by incorporating environmentally friendly technologies and technologies that enable energy management and sustainable energy production by the building itself Business is debt free and run by 2 owners one owns 90 stake in the company and the other holds 10 stake in the company ,10,others
 Business based in Bihar specializing in solar EPC projects We offer complete solar rooftop solutions to commercial and industrial clients across India Clients include hospitals petrol pumps schools cold storages factories military We work on 23 projects on a monthly basis Size of the project ranges from 25kW to 2 MW We work on both CAPEX and RESCO models The company has good coverage and exposure across India Promoter has 10 years of experience in this field Physical assets include furniture computers equipment tools related to the business ,11,Sustainable Energy
 Company procures panels and water heaters and other materials from vendors and installs the same Executing solar projects for domestic industrial and commercial clients upto 10 KW Completed 26 projects till date NREDCAP certification implies that business can participate in government AP and Telangana projects ,1,Sustainable Energy
 Have designed a revolutionary all weather lowvoltage ondemand renewable electricity generation system The design is a highly efficient magnetic torque machine We have integrated this technology into 6 different products which we intend to sell The market research business plan and all financial projections are in place We have also identified vendors and 3rd party manufacturers for all our components The first assembly plant will be setup in Tampa over a 20 000 sq ft plot which has already been identified We intend to raise an initial seed capital of USD 500 000 to setup the assembly facility with the same investor having to commit a follow up capital of USD 4 5M We will also be applying for a systems patent shortly The company s founder has a background in mathematics and electrical engineering with decades of industry experience and several well known inventions and patents ,6,Sustainable Energy
 EPC Company In Utility renewable energy Transmission Lines Provides endtoend solutions for all Solar Wind hydro Bio mass energy We provide installation infrastructure development and maintenance services to our clients for their energy needs Been successfully rendering our services to a range of clients Our clients include Govt corporate s hotels Government and international companies Strong Govt Liasoning Awarded Best Service Provider From Solar Quarter and India s Best Entrepreneur 40 under 40 award Best Service Provider Award by Solar Quarter ,11,Sustainable Energy
 A B2B sales company involved in telecom energy software and business center for start up companies A master dealer for IP Centrex at one of the biggest Greek business group of companies High tech infrastructure Innovative services Large customer list Partnerships with large companies Have master dealer contract with Vodafone Greece and NRG Main activity Telecommunication services 61901000 secondary activity Availability of online advertising space time 63113000 and Retail trade of mail sales or online of nonspecialized goods 47919900 Our website is currently under maintenance ,7,others
 We are involved in the conversion of plastic waste into crude oil The business has entered into a 100 buy back and standing partner agreement with Growdiesel Ventures Limited Growdiesel will buy the biofuel produced by our company at INR 15 litre They will provide technical assistance on the project i e catalysts required materials to be used and we will handle all the operations and administration aspects of the process We have identified 2 suppliers that process 5 tons of plastic waste daily Polypropylene and Polythene The plant location has been identified and the required machinery has been acquired The size of the plant is 20 000 square feet 10 000 square feet for processing and 10 000 square feet for material storage The plant is located near Udaipur Post funding it will take 3 months to commission the plant and initiate operations There is an expected ROI of 1 5 years Promoter is a certified biofuel consultant with 2 5 years of work experience in this particular sector ,12,others
 Company produces green energy through set up and operation of Photovoltaic Power Plants PPP At present there are around 18 solar power plants that are operational and generate 30KW of power each Plan to commission construct and operate 13 more power plants by next year Expect to have at least 30 operational solar power plants with a monthly revenue of BGN 23 000 by mid of next year Have owned land parcels of 1 000 Sq M each in villages located in ecological sites of Bulgaria for the constructed and planned solar plants The activity requires minimal manpower to monitor and maintain the plants The company has 3 inhouse employees for this Client that the company sells power to is EVN which is the only company that holds electricity distribution rights in South Bulgaria Purchase price of the produced electric power as of the contract is 106 73 Euro MWh ,0,Sustainable Energy
 We are an innovative company manufacturing new solarrelated motors solar products Business has 14 patents for 14 new products and has sold 3 of our unique solar products The owner uses a constantinnovation business model the owner makes a market analysis surveys the requirements from digital forms and funds the new projects with investments of other companies brands The owner designs and manufactures innovative products postinvestment from an individual and under their brand name After the product is ready for market the investor company may give a part of its sales commission or patent payment We have sold 5 of our completed products and patents to other companies Based on estimates from the companies these products have been sold to 2 200 customers The promoter has 10 years of experience in manufacturing solarbased products Business is seeking a loan for the last phase of the development of the electric board ,2,others
 The principal line of business as a manufacturing representative organization since 1989 working in the oil power sectors of Ecuador has been with the Babcock Wilcox company ,6,Sustainable Energy
 12 hectare industrial land in Constanta Romania Have access to additional 60 hectares of land for a solar energy park Property has its own water source with great fiscal facilities in the long term Property is near the railroad Danube port Black Seaport and GH speedway The seller will also assist in all legal documents and future permissions for construction Property is owned by the company Company has no liabilities There are 3 owners One owns 50 share and the other 2 own 25 each There is a tax exemption for any future construction on this property ,3,others
 Patented revolutionary technology An international team is ready to spread the market around the world Only the manufacturing capacity is the limit of the market ,6,Sustainable Energy
 Advance Biofuel is a leading Biofuel producing company in India with a large network in multiple states of India We have a wide range of greenhouse suitable for every type of crop and geographical location We have our own Biodiesel production plant in India and also abroad We use the latest advanced technology in our production plant to become India s trusted brand in the fuel industry Every fuel station is equipped with latest technology and experienced staff 24x7 to maintain good relationship with clients ,6,Sustainable Energy
 Electromechanical contractor delivering products and services to the MEP industry We have served many commercial residential projects throughout UAE On average the number of enquiries we receive is at least 25 per month Our services include HVAC plumbing drainage electrical safety protection services Have completed more than 15 projects since inception Our assets includes website domain client database tools and machinery ,5,Tech
 We are a solar power project installer and operator that works on an OPEX and CAPEX model In CAPEX model the investment comes from the client and the assets are handed over to them In an OPEX model we find investment and setup the project and sell the electricity to the client according to power purchase agreement PPA The average length of our PPAs are for approximately 25 years We used to be sub vendors for another company but are focusing on being direct vendors for the client now Have completed numerous projects with corporate clients for over 5MW Have a 1 5 MW project in hand and are looking for funding for the same Currently our projects are on hold due to the pandemic Promoter has been working in the field of solar EPC since 2015 The firm owns an office of 300 Sq Ft ,11,Sustainable Energy
 The company is all about creative green technologies We have identified 6 line of business out of which we have launched the ecommerce platform We have launched our website in July and we have more than 500 products live We do research in detail on environmental impact and identify multiple problems with their root cause On a daily basis we get around 30 imprints on our website We have agreements with 50 sellers across India who will be selling products on our website We have successfully delivered 50 orders till now We organize events for promotion and marketing Promoter has more than 20 years experience in IT ,8,others
